personality_word,word_valence,mean_val,mean_img,mean_freq
Youthful,positive,80.0,60.0,80.0
Popular,positive,85.0,75.0,85.0
Neat,positive,80.0,65.0,70.0
Selfless,positive,90.0,85.0,85.0
Reflective,positive,80.0,80.0,90.0
Stylish,positive,85.0,75.0,80.0
Decisive,positive,90.0,80.0,90.0
Open,positive,85.0,85.0,85.0
Sane,positive,90.0,75.0,80.0
High-spirited,positive,85.0,80.0,85.0
Protective,positive,90.0,80.0,90.0
Sophisticated,positive,90.0,85.0,85.0
Hopeful,positive,85.0,75.0,70.0
Dynamic,positive,90.0,80.0,85.0
Elegant,positive,90.0,75.0,80.0
Freethinking,positive,85.0,70.0,80.0
Cultured,positive,80.0,75.0,80.0
Tasteful,positive,85.0,75.0,90.0
Responsive,positive,80.0,75.0,85.0
Forgiving,positive,90.0,80.0,75.0
Flexible,positive,85.0,70.0,75.0
Progressive,positive,80.0,80.0,90.0
Adventurous,positive,85.0,75.0,80.0
Sociable,positive,90.0,80.0,85.0
Amusing,positive,85.0,85.0,90.0
Principled,positive,80.0,70.0,75.0
Strong-willed,positive,85.0,80.0,90.0
Energetic,positive,90.0,75.0,85.0
Tidy,positive,80.0,70.0,75.0
Dignified,positive,85.0,80.0,85.0
Cool,positive,90.0,75.0,80.0
Stable,positive,80.0,80.0,85.0
Precise,positive,85.0,70.0,75.0
Personable,positive,90.0,85.0,80.0
Alert,positive,85.0,75.0,85.0
Disciplined,positive,80.0,75.0,90.0
Realistic,positive,85.0,75.0,80.0
Trusting,positive,90.0,85.0,85.0
Gentle,positive,85.0,80.0,75.0
Tolerant,positive,80.0,75.0,80.0
Original,positive,85.0,75.0,90.0
Active,positive,90.0,85.0,85.0
Mature,positive,80.0,80.0,75.0
Purposeful,positive,90.0,80.0,85.0
Gracious,positive,85.0,75.0,80.0
Intuitive,positive,90.0,80.0,85.0
Relaxed,positive,80.0,75.0,75.0
Ambitious,positive,85.0,80.0,85.0
Secure,positive,85.0,75.0,80.0
Cooperative,positive,90.0,80.0,90.0
Fun-loving,positive,85.0,70.0,80.0
Captivating,positive,90.0,80.0,85.0
Eloquent,positive,85.0,75.0,80.0
Nice,positive,90.0,85.0,85.0
Heroic,positive,90.0,80.0,75.0
Diligent,positive,80.0,75.0,70.0
Peaceful,positive,85.0,80.0,85.0
Charming,positive,85.0,75.0,80.0
Practical,positive,90.0,80.0,75.0
Easy-going,positive,85.0,75.0,80.0
Charismatic,positive,90.0,85.0,80.0
Exciting,positive,85.0,80.0,75.0
Innovative,positive,85.0,80.0,90.0
Humble,positive,85.0,75.0,85.0
Rational,positive,90.0,80.0,85.0
Sharing,positive,80.0,70.0,75.0
Insightful,positive,85.0,85.0,80.0
Observant,positive,80.0,75.0,85.0
Perceptive,positive,85.0,80.0,90.0
Conscientious,positive,90.0,80.0,80.0
Optimistic,positive,85.0,80.0,75.0
Courteous,positive,90.0,80.0,85.0
Logical,positive,85.0,75.0,90.0
Self-sufficient,positive,85.0,70.0,75.0
Imaginative,positive,90.0,75.0,80.0
Calm,positive,90.0,80.0,75.0
Engaging,positive,85.0,80.0,85.0
Witty,positive,85.0,80.0,90.0
Patient,positive,90.0,85.0,85.0
Adaptable,positive,80.0,75.0,80.0
Passionate,positive,85.0,75.0,80.0
Clear-headed,positive,90.0,75.0,85.0
Sympathetic,positive,85.0,75.0,80.0
Well-read,positive,85.0,75.0,80.0
Self-reliant,positive,85.0,70.0,80.0
Affectionate,positive,90.0,80.0,85.0
Thorough,positive,85.0,85.0,80.0
Cheerful,positive,90.0,75.0,85.0
Extraordinary,positive,90.0,80.0,75.0
Focused,positive,85.0,80.0,80.0
Organised,positive,80.0,75.0,80.0
Empathetic,positive,85.0,75.0,80.0
Confident,positive,85.0,80.0,75.0
Enthusiastic,positive,90.0,75.0,85.0
Courageous,positive,85.0,80.0,75.0
Fair,positive,90.0,75.0,80.0
Dedicated,positive,85.0,75.0,80.0
Creative,positive,90.0,85.0,75.0
Impressive,positive,90.0,75.0,80.0
Articulate,positive,85.0,80.0,85.0
Efficient,positive,90.0,75.0,85.0
Appreciative,positive,90.0,75.0,80.0
Resourceful,positive,85.0,80.0,75.0
Healthy,positive,90.0,75.0,85.0
Independent,positive,85.0,80.0,90.0
Faithful,positive,85.0,80.0,85.0
Attractive,positive,90.0,75.0,80.0
Clean,positive,85.0,75.0,80.0
Punctual,positive,85.0,75.0,85.0
Admirable,positive,90.0,85.0,80.0
Educated,positive,85.0,80.0,75.0
Strong,positive,90.0,80.0,85.0
Lovely,positive,90.0,85.0,80.0
Capable,positive,90.0,75.0,80.0
Open-minded,positive,85.0,80.0,85.0
Authentic,positive,90.0,80.0,90.0
Honourable,positive,90.0,75.0,80.0
Determined,positive,90.0,85.0,80.0
Generous,positive,90.0,75.0,85.0
Interesting,positive,85.0,80.0,75.0
Wise,positive,85.0,75.0,80.0
Respectful,positive,90.0,80.0,85.0
Good-natured,positive,85.0,75.0,80.0
Considerate,positive,90.0,80.0,75.0
Warm,positive,90.0,85.0,85.0
Compassionate,positive,85.0,75.0,85.0
Skillful,positive,85.0,80.0,90.0
Thoughtful,positive,85.0,85.0,75.0
Lovable,positive,90.0,80.0,85.0
Responsible,positive,90.0,75.0,80.0
Caring,positive,90.0,75.0,85.0
Understanding,positive,85.0,80.0,80.0
Smart,positive,85.0,75.0,90.0
Loving,positive,90.0,75.0,80.0
Approachable,positive,85.0,85.0,75.0
Clever,positive,85.0,80.0,80.0
Knowledgeable,positive,85.0,75.0,85.0
Friendly,positive,90.0,80.0,80.0
Brilliant,positive,85.0,80.0,90.0
Loyal,positive,90.0,75.0,85.0
Reliable,positive,85.0,80.0,85.0
Hardworking,positive,85.0,80.0,80.0
Intelligent,positive,90.0,85.0,75.0
Kind,positive,90.0,75.0,85.0
Genuine,positive,85.0,80.0,80.0
Trustworthy,positive,90.0,80.0,75.0
Honest,positive,90.0,85.0,80.0
