personality_word,total_likeability,rank
tidy,427,153
popular,426,154
upright,426,155
literary,425,156
practical,425,157
light-hearted,424,158
well-bred,423,159
refined,422,160
self-confident,421,161
cool-headed,420,162
studious,418,163
venturesome,417,164
discreet,416,165
informal,416,166
thorough,416,167
exuberant,414,168
inquisitive,413,169
easygoing,412,170
outgoing,412,171
self-sufficient,412,172
casual,411,173
consistent,411,174
moral,411,175
self-assured,411,176
untiring,410,177
hopeful,406,178
calm,406,179
strong-minded,404,180
positive,403,181
confident,401,182
artistic,400,183
precise,400,184
scientific,400,185
orderly,399,186
social,398,187
direct,396,188
careful,390,189
candid,389,190
comical,389,191
obliging,389,192
self-critical,389,193
fashionable,387,194
religious,387,195
soft-hearted,387,196
dignified,386,197
philosophical,386,198
idealistic,384,199
soft-spoken,380,200
disciplined,379,201
serious,379,202
definite,375,203
convincing,374,204
persuasive,374,205
obedient,373,206
quick,373,207
sophisticated,372,208
thrifty,372,209
sentimental,371,210
objective,370,211
nonconforming,369,212
righteous,369,213
mathematical,367,214
meditative,366,215
fearless,366,216
systematic,366,217
subtle,365,218
normal,362,219
daring,360,220
middleclass,360,221
lucky,358,222
proud,358,223
sensitive,358,224
moralistic,357,225
talkative,352,226
excited,351,227
moderate,351,228
satirical,351,229
prudent,348,230
reserved,348,231
persistent,347,232
meticulous,346,233
unconventional,346,234
deliberate,345,235
painstaking,345,236
bold,336,237
suave,335,238
cautious,334,239
innocent,332,240
inoffensive,332,241
shrewd,328,242
methodical,325,243
nonchalant,324,244
self-contented,324,245
perfectionistic,322,246
forward,318,247
excitable,317,248
outspoken,313,249
prideful,313,250
quiet,311,251
impulsive,307,252
aggressive,304,253
changeable,297,254
conservative,295,255
shy,291,256
hesitant,290,257
unpredictable,290,258
solemn,289,259
blunt,287,260
self-righteous,287,261
average,284,262
discriminating,283,263
emotional,283,264
unlucky,280,265
bashful,279,266
self -concerned,279,267
authoritative,274,268
lonesome,274,269
restless,274,270
choosy,272,271
self-possesssed,272,272
naive,270,273
opportunist,270,274
theatrical,269,275
unsophisticated,267,276
impressionable,266,277
ordinary,266,278
strict,266,279
skeptical,264,280
extravagant,263,281
forceful,263,282
cunning,262,283
inexperienced,262,284
unmethodical,262,285
daredevil,261,286
wordy,261,287
daydreamer,260,288
conventional,260,289
materialistic,260,290
self-satisfied,260,291
rebellious,258,292
eccentric,257,293
opinionated,257,294
stern,257,295
lonely,256,296
dependent,254,297
unsystematic,253,298
self-conscious,249,299
undecided,249,300
resigned,248,301
clownish,247,302
anxious,246,303
conforming,246,304
critical,243,305
conformist,241,306
radical,241,307
dissatisfied,239,308
old-fashioned,239,309
meek,238,310
frivolous,237,311
discontented,237,312
troubled,235,313
irreligious,234,314
overcautious,229,315
silent,228,316
tough,228,317
ungraceful,228,318
argumentative,227,319
withdrawing,227,320
uninquisitive,225,321
forgetful,224,322
inhibited,224,323
unskilled,224,324
crafty,223,325
passive,223,326
immodest,222,327
unpopular,222,328
timid,222,329
spendthrift,221,330
temperamental,221,331
gullible,219,332
indecisive,219,333
silly,219,334
submissive,219,335
unstudious,218,336
preoccupied,216,337
tense,215,338
fearful,214,339
unromantic,214,340
absent-minded,213,341
impractical,213,342
withdrawn,213,343
unadvcnturous,212,344
sarcastic,210,345
sad,209,346
unemotional,209,347
worrying,209,348
high-strung,208,349
unoriginal,207,350
unpoised,206,351
compulsive,205,352
worrier,205,353
demanding,203,354
unhappy,203,355
indifferent,202,356
uncultured,201,357
clumsy,199,358
insecure,198,359
unentertaining,198,360
imitative,198,361
melancholy,198,362
mediocre,197,363
obstinate,197,364
unhealthy,197,365
headstrong,196,366
nervous,196,367
nonconfident,196,368
stubborn,196,369
unimaginative,195,370
down-hearted,194,371
unobservant,194,372
inconsistent,193,373
unpunctual,192,374
unindustrious,191,375
disturbed,189,376
superstitious,189,377
frustrated,188,378
illogical,186,379
rash,186,380
unenthusiastic,186,381
inaccurate,185,382
noninquisitive,184,383
unagreeable,184,384
jumpy,183,385
possessive,183,386
purposeless,183,387
moody,182,388
unenterprising,180,389
unintellectual,180,390
unwise,180,391
oversensitive,179,392
inefficient,178,393
reckless,178,394
pompous,177,395
uncongenial,175,396
untidy,175,397
unaccomodating,174,398
noisy,173,399
squeamish,172,400
cynical,171,401
angry,169,402
listless,169,403
uninspiring,169,404
unintelligent,168,405
domineering,167,406
scolding,166,407
depressed,166,408
unobliging,165,409
pessimistic,164,410
unattentive,164,411
boisterous,163,412
suspicious,163,413
inattentive,162,414
overconfident,162,415
smug,161,416
unsociable,161,417
unproductive,160,418
wasteful,160,419
fickle,159,420
neglectful,159,421
short-tempered,159,422
hot-headed,158,423
unsocial,158,424
envious,157,425
overcritical,157,426
scheming,156,427
sly,156,428
weak,155,429
foolhardy,154,430
immature,154,431
dominating,153,432
showy,153,433
sloppy,153,434
unsympathetic,153,435
uncompromising,153,436
hot-tempered,152,437
neurotic,152,438
unsporting,152,439
finicky,150,440
resentful,150,441
unruly,150,442
fault-finding,148,443
messy,147,444
misfit,147,445
uninteresting,146,446
scornful,145,447
antisocial,144,448
irritable,143,449
stingy,143,450
tactless,142,451
careless,140,452
foolish,140,453
troublesome,140,454
ungracious,140,455
negligent,139,456
wishy-washy,139,457
profane,137,458
gloomy,136,459
helpless,136,460
disagreeable,134,461
touchy,134,462
irrational,130,463
tiresome,130,464
disobedient,128,465
complaining,127,466
lifeless,127,467
vain,127,468
lazy,126,469
unappreciative,126,470
maladjusted,123,471
aimless,122,472
boastful,122,473
dull,121,474
gossipy,119,475
unappealing,119,476
hypochondriac,118,477
irritating,118,478
petty,118,479
shallow,118,480
deceptive,117,481
grouchy,117,482
egotistical,116,483
meddlesome,116,484
uncivil,116,485
cold,113,486
unsportsmanlike,113,487
bossy,112,488
unpleasing,112,489
cowardly,110,490
discourteous,110,491
incompetent,110,492
childish,109,493
superficial,109,494
ungrateful,109,495
self -conceited,108,496
hard-hearted,107,497
unfair,107,498
irresponsible,106,499
prejudiced,106,500
bragging,104,501
jealous,104,502
unpleasant,104,503
unreliable,104,504
impolite,103,505
crude,102,506
nosey,102,507
humorless,101,508
quarrelsome,101,509
abusive,100,510
distrustful,99,511
intolerant,98,512
unforgiving,98,513
boring,97,514
unethical,97,515
unreasonable,97,516
self -centered,96,517
snobbish,96,518
unkindly,96,519
ill-mannered,95,520
ill-tempered,95,521
unfriendly,92,522
hostile,91,523
dislikable,90,524
ultra-critical,90,525
offensive,88,526
belligerent,86,527
underhanded,86,528
annoying,84,529
disrespectful,83,530
loud-mouthed,83,531
selfish,82,532
narrow-minded,80,533
vulgar,79,534
heartless,78,535
insolent,78,536
thoughtless,77,537
rude,76,538
conceited,74,539
greedy,72,540
spiteful,72,541
insulting,69,542
insincere,66,543
unkind,66,544
untrustworthy,65,545
deceitful,62,546
dishonorable,52,547
malicious,52,548
obnoxious,48,549
untruthful,43,550
dishonest,41,551
cruel,40,552
mean,37,553
phony,27,554
liar,26,555
